Place Name;Place Name normalised;Place Name unique; Place Name unique sorted;Place Name unique manually
gluÍ¤cklichen InÅ¿eln;glücklichen Inseln;Rocks-;Oster-Eylands;Salvages
InÅ¿ulÃ¦ fortunatÃ¦;Insulä¦ fortunatä¦;Point;Osterinsel;San Jago
Canaria;Canaria;ShipCove;Ostindien;San Vincente
KanariÅ¿chen InÅ¿eln;Kanarischen Inseln;Motu-Aro;ostindischen Inseln;Santa-Cruz
Madera;Madera;Societäts-Inseln;Ostund West-Indien;Schip-Cove
Porto-Santo;Porto-Santo;West-Bay;O-Taha;Schiras
Rom;Rom;O-Taheitti;O-Taheiti;Schoutens und Van der Linds Eylande
Mauretanien;Mauretanien;Ship-Cove;O-Taheitti;schwarzen Eap Cap
Europa;Europa;Cap Koamaru;Otahiti;Schweden
Lancerota;Lancerota;Ost-Bay;O-Tahiti;Seehund-Inseln
CaÅ¿tilien;Castilien;Point Jackson;O-Tahiti-iti;Seeland
Normandie;Normandie;Gras-Cove;O-Tahiti-Nue;SeillyEyland
Kana- riÅ¿chen InÅ¿eln;Kanarischen Inseln;Canibal-Cove;OWhai-urua;Senegal
Portugall;Portugall;Thira-Whittie;o-Whai-urua;Sevilla
Ferro;Ferro;CharlottenSund;OWharre;Sheerness
HudÅ¿ons-Bay;Hudsons-Bay;O-Tahiti;O-Wharre;Ship-Cove
England;England;Cooks-Strasse;pacifischen Oceans;Societäts-Inseln
Madera;Madera;Terra australis;Palliser;South Pacifik Ocean
BonaviÅ¿ta;Bonavista;Ostindien;Palma;Southern Atlantic Ocean
gruÍ¤nen VorgebuÍ¤rges;grünen Vorgebürges;Basheeâ€’Inseln;Panama;Spanien
Mayo;Mayo;Neu-Brittannien;Paparra;Spithead
San Jago;San Jago;Port Surville;Paraguay;Spitzbergen
Porto-Praya;Porto-Praya;Callao;Paris;St. Clara
Cap-VerdiÅ¿chen InÅ¿eln;Cap-Verdischen Inseln;Doubtles-Bay;Parnassus;St. Jago
S. Jago;S. Jago;Pitcairns Insel;Parre;Stellenbosch
Portugal;Portugal;stillen Meeres;Persien;Stellenbusch
Mayo;Mayo;Resolution-Eyland;Peru;stille Meer
S. Jago;S. Jago;DoubtfulEyland;Philippinischen Inseln;stillen Ocean
St. Jago;St. Jago;Furneaux-Eyland;Pic de la Boudeuse;Stockholm
gruÍ¤nen VorgebuÍ¤rges;grünen Vorgebürges;Adventure-Eyland;Pickersgill;Strasse von Malacca
Porto-Praya;Porto-Praya;Chain-Island;Pickersgill-Haven;Süd Amerika
LiÅ¿Å¿abon;Lissabon;Ketten-Insel;Pitcairns Eyland;Südals Nordpol
S. Jago;S. Jago;OsnabruckEyland;Pitcairns Insel;Süd-Amerika
Afrique;Afrique;Pic de la Boudeuse;Plymouth;Süd-Georgien
Paris;Paris;le Boudoir;Plymouth-Haven;südliche Eismeer
Africa;Africa;Mäatua;Point;südliche Ocean
England;England;Maitea;Point five finger;Süd-Meer
VorgebuÍ¤rge der guten Hofnung;Vorgebürge der guten Hofnung;Lima;Point Jackson;Südpol
gruÍ¤nen VorgebuÍ¤rges;grünen Vorgebürges;south pacific Ocean;Point Venus;Südsee
S. Jago;S. Jago;Georg des dritten Insel;Point-Hicks;Südsee-Inseln
Ribeira grande;Ribeira grande;O-Aitepieha;PointVenus;Table-Cap
Porto-Praya;Porto-Praya;Matavai-Bay;Point-Venus;Tabuaä
St. Jago;St. Jago;Taä-ti;Poldyre;Tafel-Bay
VorgebuÍ¤rge der guten Hofnung;Vorgebürge der guten Hofnung;Whaä-Urua;Pondichery;Tafelberge
Cap;Cap;Teiarrabu;Ponta de Sol;Taha
Fuogo;Fuogo;o-Whai-urua;Port Egmont's;Tahiti
Ilha dos Codornizes;Ilha dos Codornizes;Aitepieha;Port Surville;Tamai-poe-namu
Wachtel-InÅ¿el;Wachtel-Insel;Hierusalem;Port-Egmont;Tautihpa
Porto Praya;Porto Praya;Marvayles of Inde;Portland-Eyland;Tedhuroa
Arabien;Arabien;Whennua's;Porto Praya;Teiarrabu
